date,description,counterparty,debit,credit,balance,sourceAccount
2026-01-03,inward transfer (n) 49621 from zenith/ sky capital and financial allied in-skypay maintenance fee for 2026_1/000015260409115119000002024421,,,23575000,28575000,0234567890
2026-01-06,outward transfer (n) 1512211 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512211,,500000,,28075000,0234567890
2026-01-06,nip transfer commission 1512211 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,28074950,0234567890
2026-01-06,stamp duty 1512211 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,28074900,0234567890
2026-01-06,vat on nip transfer fee 1512211 to guaranty trust bank plc,,4,,28074896,0234567890
2026-01-07,outward transfer (n) 1512212 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512212,,500000,,27574896,0234567890
2026-01-07,nip transfer commission 1512212 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27574846,0234567890
2026-01-07,stamp duty 1512212 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27574796,0234567890
2026-01-07,vat on nip transfer fee 1512212 to guaranty trust bank plc,,4,,27574792,0234567890
2026-01-08,outward transfer (n) 1512213 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512213,,500000,,27074792,0234567890
2026-01-08,nip transfer commission 1512213 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27074742,0234567890
2026-01-08,stamp duty 1512213 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27074692,0234567890
2026-01-08,vat on nip transfer fee 1512213 to guaranty trust bank plc,,4,,27074688,0234567890
2026-01-11,nip transfer commission 2900211 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27074638,0234567890
2026-01-12,nip transfer commission 2900212 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27074588,0234567890
2026-01-13,nip transfer commission 2900213 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27074538,0234567890
